Date,Open,High,Low,Close,Volume
2025-01-14,70.14,72.03,69.49,71.07,906917
2025-01-13,71.22,71.33,70.05,70.14,1880657
2025-01-10,70.93,72.13,70.38,71.22,1615151
2025-01-09,70.93,71.54,70.04,70.93,2535401
2025-01-08,70.60,71.46,70.28,70.93,933264
2025-01-07,71.03,71.85,70.30,70.60,2609364
2025-01-06,71.27,71.43,70.03,71.03,793727
2025-01-03,70.30,71.87,70.07,71.27,406714
2025-01-02,71.36,72.12,69.60,70.30,1117255
2025-01-01,71.02,71.66,70.54,71.36,2467689
2024-12-31,71.00,71.46,70.65,71.02,2906123
2024-12-30,70.98,71.92,69.99,71.00,2971924
2024-12-27,70.21,71.58,69.42,70.98,1551727
2024-12-26,71.56,72.57,69.56,70.21,1672062
2024-12-25,70.62,72.47,70.18,71.56,961066
2024-12-24,69.45,71.52,68.46,70.62,319586
2024-12-23,69.40,69.67,68.37,69.45,1655394
2024-12-20,70.23,71.24,68.67,69.40,1670517
2024-12-19,70.13,71.28,69.68,70.23,670720
2024-12-18,68.98,70.20,68.64,70.13,645762
2024-12-17,69.71,70.33,68.33,68.98,296821
2024-12-16,69.48,70.58,69.25,69.71,2480848
2024-12-13,69.21,69.96,68.89,69.48,1549902
2024-12-12,69.97,70.55,69.09,69.21,444337
2024-12-11,69.44,70.33,69.02,69.97,2502011
2024-12-10,69.47,70.14,69.05,69.44,1250865
2024-12-09,69.87,70.65,69.31,69.47,281472
2024-12-06,70.41,70.93,69.43,69.87,1771239
2024-12-05,70.51,70.63,69.50,70.41,1260527
2024-12-04,70.77,71.26,69.77,70.51,2247003
2024-12-03,71.88,72.31,70.53,70.77,509035
2024-12-02,72.43,72.89,71.49,71.88,778480
2024-11-29,72.25,72.93,71.60,72.43,1059766
2024-11-28,72.57,73.04,71.24,72.25,2429562
2024-11-27,72.66,73.73,71.62,72.57,1629523
2024-11-26,72.67,73.03,72.48,72.66,2915685
2024-11-25,73.93,74.03,72.55,72.67,271041
2024-11-22,74.38,74.80,73.46,73.93,2954611
2024-11-21,73.81,74.69,73.73,74.38,885519
2024-11-20,73.11,74.78,72.92,73.81,814093
2024-11-19,72.20,73.54,71.80,73.11,183634
2024-11-18,71.97,73.25,70.93,72.20,990365
2024-11-15,71.63,72.30,70.83,71.97,1145309
2024-11-14,72.38,72.85,70.63,71.63,324749
2024-11-13,73.25,73.59,72.12,72.38,2848609
2024-11-12,72.05,73.66,71.57,73.25,938475
2024-11-11,73.19,73.41,71.77,72.05,680201
2024-11-08,74.00,74.45,73.02,73.19,525470
2024-11-07,75.14,76.20,73.82,74.00,2341734
2024-11-06,74.92,75.47,73.94,75.14,1039110
2024-11-05,75.30,75.65,74.75,74.92,2523821
2024-11-04,75.06,75.83,74.69,75.30,2344975
2024-11-01,74.79,76.15,74.02,75.06,1797826
2024-10-31,73.70,75.84,72.86,74.79,2837510
2024-10-30,74.01,74.65,73.25,73.70,1284588
2024-10-29,72.13,75.04,72.04,74.01,2191414
2024-10-28,71.54,72.54,71.45,72.13,2029115
2024-10-25,71.01,71.75,70.84,71.54,252233
2024-10-24,70.18,71.59,69.33,71.01,1904514
2024-10-23,69.62,70.33,69.29,70.18,2918367
2024-10-22,70.53,70.95,68.72,69.62,1612091
2024-10-21,71.90,72.02,69.81,70.53,2538878
2024-10-18,71.88,72.19,71.28,71.90,1966881
2024-10-17,71.82,72.08,70.84,71.88,109093
2024-10-16,71.74,72.05,71.23,71.82,2570834
2024-10-15,71.33,72.42,70.58,71.74,2874423
2024-10-14,70.59,72.20,70.02,71.33,1585031
2024-10-11,69.22,71.41,68.42,70.59,402928
2024-10-10,68.68,69.68,68.50,69.22,2405051
2024-10-09,68.99,69.19,68.00,68.68,2151868
2024-10-08,69.46,69.96,68.24,68.99,2661748
2024-10-07,69.21,70.01,68.72,69.46,374094
2024-10-04,68.46,70.22,67.85,69.21,2797262
2024-10-03,68.95,69.27,67.90,68.46,501227
2024-10-02,69.74,70.01,68.55,68.95,1909523
2024-10-01,69.11,70.00,68.90,69.74,1749772
2024-09-30,67.64,70.03,66.95,69.11,309122
2024-09-27,66.51,68.34,66.40,67.64,2492116
2024-09-26,66.73,67.32,65.57,66.51,603904
2024-09-25,66.38,66.96,65.85,66.73,1184034
2024-09-24,65.55,66.69,64.65,66.38,2840856
2024-09-23,64.71,66.36,63.75,65.55,1665940
2024-09-20,64.61,65.35,64.14,64.71,818988
2024-09-19,64.67,64.75,64.06,64.61,1684795
2024-09-18,63.80,65.36,63.34,64.67,495929
2024-09-17,63.89,64.83,63.30,63.80,310089
2024-09-16,63.61,64.47,63.33,63.89,626199
2024-09-13,63.61,64.53,63.52,63.61,2781789
2024-09-12,64.12,64.25,63.06,63.61,724516
2024-09-11,64.65,65.52,63.90,64.12,1944272
2024-09-10,64.57,65.27,63.65,64.65,2023845
2024-09-09,64.35,65.46,63.70,64.57,996357
2024-09-06,64.00,64.73,63.65,64.35,297062
2024-09-05,64.16,64.47,63.22,64.00,167895
2024-09-04,64.65,64.91,63.40,64.16,1937135
2024-09-03,65.32,65.92,63.70,64.65,1026670
2024-09-02,64.67,65.41,64.17,65.32,872248
2024-08-30,63.39,65.30,62.65,64.67,2957280
2024-08-29,63.04,63.76,62.64,63.39,411506
2024-08-28,63.31,64.04,62.17,63.04,2072328
2024-08-27,63.42,63.86,62.59,63.31,1908824
2024-08-26,63.47,64.00,62.58,63.42,2839421
2024-08-23,63.94,64.53,63.10,63.47,1064114
2024-08-22,64.04,64.33,63.53,63.94,1062755
2024-08-21,63.47,64.41,63.08,64.04,2879535
2024-08-20,63.65,64.57,63.36,63.47,1792780
2024-08-19,63.66,64.49,62.87,63.65,666771
2024-08-16,63.87,64.02,63.51,63.66,764389
2024-08-15,64.14,65.05,63.31,63.87,855330
2024-08-14,64.83,65.43,63.22,64.14,234506
2024-08-13,65.36,66.33,64.08,64.83,2314194
2024-08-12,66.79,66.92,64.48,65.36,289968
2024-08-09,66.63,67.22,66.50,66.79,2723175
2024-08-08,66.53,67.61,66.42,66.63,325817
2024-08-07,66.47,67.49,66.15,66.53,158535
2024-08-06,67.39,67.91,66.29,66.47,1775825
2024-08-05,67.37,67.74,67.22,67.39,2820211
2024-08-02,67.00,67.67,66.61,67.37,2066634
2024-08-01,67.85,68.16,66.25,67.00,1742647
2024-07-31,68.43,69.09,67.54,67.85,2373103
2024-07-30,68.01,68.70,67.92,68.43,604635
2024-07-29,67.77,68.35,66.83,68.01,1910321
2024-07-26,68.51,68.70,66.75,67.77,2154972
2024-07-25,68.24,68.68,67.83,68.51,176663
2024-07-24,66.68,69.14,66.49,68.24,2663134
2024-07-23,67.21,67.43,66.27,66.68,560499
2024-07-22,66.55,67.97,66.18,67.21,2135841
2024-07-19,66.48,67.35,66.37,66.55,1080037
2024-07-18,66.12,67.33,65.32,66.48,390240
2024-07-17,66.52,66.96,65.89,66.12,489770
2024-07-16,66.08,67.34,65.22,66.52,532464
2024-07-15,66.52,67.04,65.84,66.08,247887
2024-07-12,66.72,67.18,65.86,66.52,1528665
2024-07-11,66.01,67.38,65.19,66.72,1080691
2024-07-10,66.37,67.11,65.36,66.01,1494322
2024-07-09,66.76,67.13,65.86,66.37,1182077
2024-07-08,66.56,67.52,66.13,66.76,1698813
2024-07-05,67.79,67.88,66.33,66.56,2181957
2024-07-04,67.05,67.97,66.74,67.79,2234684
2024-07-03,66.20,68.05,65.60,67.05,1392435
2024-07-02,65.62,66.95,64.77,66.20,700023
2024-07-01,66.07,66.49,65.34,65.62,1371161
2024-06-28,65.45,66.77,64.88,66.07,1961891
2024-06-27,65.59,66.03,65.37,65.45,987591
2024-06-26,66.83,67.57,65.31,65.59,467603
2024-06-25,66.65,67.36,66.51,66.83,236546
2024-06-24,66.92,67.68,65.95,66.65,2911915
2024-06-21,67.88,68.42,66.67,66.92,1768723
2024-06-20,67.04,68.76,66.47,67.88,1806451
2024-06-19,65.99,67.21,65.40,67.04,2292491
2024-06-18,66.56,67.24,65.31,65.99,810472
2024-06-17,67.01,67.86,66.32,66.56,1640826
2024-06-14,66.80,67.90,65.94,67.01,2335446
2024-06-13,67.85,68.08,66.45,66.80,558250
2024-06-12,68.96,69.74,67.18,67.85,1890537
2024-06-11,68.23,69.24,67.31,68.96,195666
2024-06-10,68.19,68.44,67.93,68.23,899539
2024-06-07,68.52,68.80,67.93,68.19,1159961
2024-06-06,69.37,70.26,67.71,68.52,1151003
2024-06-05,69.19,70.29,69.00,69.37,2556869
2024-06-04,69.55,70.01,68.55,69.19,1451610
2024-06-03,70.33,70.90,68.86,69.55,118513
2024-05-31,70.38,70.95,70.06,70.33,843292
2024-05-30,70.02,70.69,69.17,70.38,391565
2024-05-29,70.52,71.17,69.87,70.02,1097380
2024-05-28,70.68,71.17,69.88,70.52,181926
2024-05-27,71.02,71.91,69.63,70.68,2913199
2024-05-24,71.74,71.99,70.06,71.02,1765888
2024-05-23,73.24,74.06,71.57,71.74,494270
2024-05-22,72.76,73.47,72.52,73.24,1145925
2024-05-21,73.71,74.40,72.21,72.76,519464
2024-05-20,72.79,73.84,72.64,73.71,2329237
2024-05-17,73.77,74.08,72.36,72.79,2361814
2024-05-16,73.86,74.10,73.67,73.77,1544269
2024-05-15,73.87,74.75,73.50,73.86,2746933
2024-05-14,74.39,74.97,72.95,73.87,1552871
2024-05-13,73.77,75.06,73.21,74.39,111736
2024-05-10,73.89,74.56,73.28,73.77,1236430
2024-05-09,73.51,74.61,72.63,73.89,545343
2024-05-08,73.28,73.92,72.68,73.51,1360527
2024-05-07,74.03,75.13,72.34,73.28,644852
2024-05-06,73.90,74.17,73.49,74.03,975001
2024-05-03,73.06,74.95,72.90,73.90,499749
2024-05-02,72.13,73.41,72.05,73.06,2707145
2024-05-01,72.57,72.80,71.81,72.13,506120
2024-04-30,72.72,73.12,72.41,72.57,2473520
2024-04-29,73.10,73.66,72.05,72.72,2765234
2024-04-26,73.37,74.47,72.80,73.10,421430
2024-04-25,72.25,73.66,71.32,73.37,2123719
2024-04-24,72.88,72.99,71.47,72.25,2383729
2024-04-23,73.08,73.57,72.24,72.88,2889908
2024-04-22,74.02,74.31,73.01,73.08,2830913
2024-04-19,74.51,74.91,73.59,74.02,1133960
2024-04-18,73.91,75.16,72.92,74.51,1426650
2024-04-17,73.85,74.33,73.15,73.91,1405740
2024-04-16,73.53,73.94,73.10,73.85,1941880
2024-04-15,72.72,74.11,72.59,73.53,2440734
2024-04-12,72.59,73.43,72.25,72.72,921068
2024-04-11,72.73,72.85,71.60,72.59,324102
2024-04-10,72.12,73.35,71.11,72.73,2759775
2024-04-09,72.15,72.25,71.24,72.12,2081354
2024-04-08,71.80,72.28,71.22,72.15,2679748
2024-04-05,72.36,73.04,71.50,71.80,955031
2024-04-04,72.53,72.69,71.97,72.36,1074141
2024-04-03,72.64,73.11,71.73,72.53,2929325
2024-04-02,72.13,73.11,71.41,72.64,137322
2024-04-01,71.34,72.87,70.32,72.13,1670640
2024-03-29,69.67,71.53,69.00,71.34,2202389
2024-03-28,70.48,71.13,69.33,69.67,2753506
2024-03-27,70.33,70.85,70.21,70.48,2617489
2024-03-26,70.85,71.21,69.39,70.33,436102
2024-03-25,71.70,72.10,70.36,70.85,2091062
2024-03-22,71.13,71.97,70.24,71.70,886839
2024-03-21,71.32,72.36,70.18,71.13,1078159
2024-03-20,70.92,71.84,70.78,71.32,2252084
2024-03-19,70.01,71.30,69.62,70.92,2693712
2024-03-18,70.13,71.08,69.88,70.01,1584610
2024-03-15,71.16,71.50,69.24,70.13,2359641
2024-03-14,71.61,71.89,70.42,71.16,1953953
2024-03-13,71.35,71.73,70.75,71.61,2072929
2024-03-12,72.37,72.64,71.19,71.35,1874553
2024-03-11,72.20,73.07,71.56,72.37,1749737
2024-03-08,72.42,73.30,71.60,72.20,1381135
2024-03-07,71.63,72.92,71.55,72.42,228938
2024-03-06,71.92,72.96,70.72,71.63,2863464
2024-03-05,71.68,72.82,70.79,71.92,2057345
2024-03-04,72.76,73.07,70.91,71.68,1834649
2024-03-01,72.25,73.24,71.97,72.76,2086179
2024-02-29,73.35,73.67,71.39,72.25,2468450
2024-02-28,73.95,74.41,73.04,73.35,717480
2024-02-27,75.43,75.73,72.88,73.95,1918048
2024-02-26,75.38,76.38,75.12,75.43,1043840
2024-02-23,75.41,75.92,74.52,75.38,2799052
2024-02-22,75.29,76.10,74.51,75.41,2189630
2024-02-21,75.57,75.79,74.21,75.29,1348835
2024-02-20,76.65,77.18,75.47,75.57,1472466
2024-02-19,76.30,77.17,75.48,76.65,487629
2024-02-16,76.02,77.00,75.67,76.30,311523
2024-02-15,75.47,76.31,75.12,76.02,510302
2024-02-14,76.21,76.62,74.56,75.47,677097
2024-02-13,75.47,76.85,75.03,76.21,1493379
2024-02-12,76.07,77.02,74.68,75.47,2075613
2024-02-09,76.20,77.27,75.70,76.07,1498525
2024-02-08,75.44,77.11,74.70,76.20,389708
2024-02-07,75.34,75.68,74.67,75.44,2452001
2024-02-06,74.31,76.10,73.31,75.34,395309
2024-02-05,74.62,75.73,73.31,74.31,2914543
2024-02-02,73.94,74.79,73.05,74.62,2207769
2024-02-01,72.76,75.05,72.69,73.94,2302978
2024-01-31,74.70,75.12,72.43,72.76,1561842
2024-01-30,74.53,75.52,73.42,74.70,1292355
2024-01-29,73.75,75.59,73.49,74.53,2197713
2024-01-26,74.23,74.57,73.17,73.75,1398187
2024-01-25,73.95,75.16,73.06,74.23,688455
2024-01-24,75.05,75.63,73.16,73.95,1966353
2024-01-23,75.08,75.88,74.76,75.05,1652699
2024-01-22,73.58,75.31,73.24,75.08,1967282
2024-01-19,72.67,74.04,72.57,73.58,2041329
2024-01-18,73.55,74.49,72.37,72.67,916744
2024-01-17,73.65,74.57,73.14,73.55,2179788
2024-01-16,73.36,74.42,72.58,73.65,824982
2024-01-15,72.07,73.55,71.08,73.36,1922290
2024-01-12,72.26,73.08,71.88,72.07,2314745
2024-01-11,72.51,72.79,72.17,72.26,2946561
2024-01-10,71.71,73.17,71.42,72.51,573676
2024-01-09,71.64,72.60,70.65,71.71,1414502
2024-01-08,73.27,73.47,70.91,71.64,1994746
2024-01-05,73.78,73.92,72.40,73.27,1314952
2024-01-04,73.57,74.73,73.22,73.78,1584052
2024-01-03,73.32,74.66,72.69,73.57,1983877
2024-01-02,73.84,74.52,72.63,73.32,2259588
2024-01-01,73.22,74.55,72.55,73.84,2609488
2023-12-29,73.12,73.52,72.28,73.22,435148
2023-12-28,72.22,73.51,71.44,73.12,2103300
2023-12-27,71.48,73.09,71.12,72.22,767129
2023-12-26,71.33,72.50,70.47,71.48,218216
2023-12-25,70.41,71.78,70.30,71.33,2452033
2023-12-22,71.14,71.44,70.01,70.41,1103015
2023-12-21,69.85,71.53,69.58,71.14,551606
2023-12-20,70.45,71.12,69.06,69.85,1057817
2023-12-19,71.85,72.15,69.74,70.45,1135763
2023-12-18,72.49,72.69,71.27,71.85,2153463
2023-12-15,73.68,73.93,71.84,72.49,1639356
2023-12-14,72.63,74.24,71.98,73.68,1685120
2023-12-13,72.27,73.17,71.54,72.63,829524
2023-12-12,72.12,72.68,71.61,72.27,622792
2023-12-11,71.51,72.57,70.73,72.12,1651095
2023-12-08,72.14,73.06,70.51,71.51,1457936
2023-12-07,72.69,73.35,71.07,72.14,2157562
2023-12-06,73.20,73.66,72.55,72.69,1169025
2023-12-05,72.75,74.11,72.20,73.20,784040
2023-12-04,73.78,74.04,71.75,72.75,2252969
2023-12-01,75.98,76.54,72.97,73.78,2359687
2023-11-30,74.68,76.54,73.78,75.98,1564977
2023-11-29,73.95,75.26,73.33,74.68,2360092
2023-11-28,73.97,74.12,72.97,73.95,472864
2023-11-27,74.24,75.20,73.86,73.97,737377
2023-11-24,74.96,75.20,73.59,74.24,1754860
2023-11-23,74.74,75.24,74.43,74.96,1281607
2023-11-22,74.44,74.87,73.93,74.74,1793939
2023-11-21,74.78,75.01,73.98,74.44,2431285
2023-11-20,74.99,75.89,73.83,74.78,2381252
2023-11-17,76.30,77.13,74.07,74.99,692050
2023-11-16,75.64,76.90,75.33,76.30,1308885
2023-11-15,76.21,76.35,74.98,75.64,393552
2023-11-14,75.42,76.41,74.75,76.21,1866973
2023-11-13,74.29,75.96,73.52,75.42,783314
2023-11-10,73.43,75.19,73.04,74.29,2201867
2023-11-09,74.24,74.98,72.64,73.43,924162
2023-11-08,75.28,76.18,73.63,74.24,1671713
2023-11-07,75.14,76.27,74.24,75.28,953899
2023-11-06,75.43,75.78,74.16,75.14,2727506
2023-11-03,74.50,76.04,74.11,75.43,1141427
2023-11-02,75.21,75.41,73.76,74.50,2918225
2023-11-01,75.79,76.73,74.57,75.21,1449124
2023-10-31,76.77,77.44,75.69,75.79,2142306
2023-10-30,75.61,77.33,75.39,76.77,1603032
2023-10-27,74.66,76.71,74.38,75.61,1597789
2023-10-26,76.17,76.83,74.44,74.66,943129
2023-10-25,77.45,78.58,75.76,76.17,1429770
2023-10-24,78.75,79.16,76.33,77.45,2570546
2023-10-23,78.52,79.58,78.23,78.75,835940
2023-10-20,76.70,79.39,76.25,78.52,1474428
2023-10-19,76.96,77.07,75.73,76.70,2949611
2023-10-18,76.89,77.12,76.42,76.96,801163
2023-10-17,77.31,78.24,75.99,76.89,974505
2023-10-16,77.44,78.38,76.25,77.31,1270247
2023-10-13,77.52,78.46,77.00,77.44,619759
2023-10-12,77.70,78.05,76.46,77.52,1478349
2023-10-11,78.68,79.06,77.07,77.70,572528
2023-10-10,78.24,79.30,78.04,78.68,2161491
2023-10-09,76.79,78.33,76.28,78.24,2961118
2023-10-06,77.64,78.02,76.69,76.79,2987862
2023-10-05,77.02,78.22,76.24,77.64,2710123
2023-10-04,77.71,78.64,76.28,77.02,1258936
2023-10-03,79.37,80.43,76.66,77.71,593942
2023-10-02,79.55,79.81,78.29,79.37,2958225
2023-09-29,78.74,79.71,77.80,79.55,2203483
2023-09-28,79.15,79.51,77.63,78.74,2747747
2023-09-27,78.45,80.00,77.38,79.15,2837198
2023-09-26,76.92,79.21,76.63,78.45,456491
2023-09-25,77.13,77.60,76.06,76.92,2912764
2023-09-22,76.28,78.25,75.70,77.13,1072765
2023-09-21,74.95,76.56,74.74,76.28,2664707
2023-09-20,75.31,75.78,74.26,74.95,2362065
2023-09-19,75.29,75.40,74.75,75.31,2633640
2023-09-18,75.94,76.34,75.00,75.29,1918520
2023-09-15,76.18,76.33,75.12,75.94,1444796
2023-09-14,77.75,78.15,75.72,76.18,1888476
2023-09-13,78.21,79.25,76.84,77.75,968917
2023-09-12,77.42,78.57,76.96,78.21,2426435
2023-09-11,77.93,79.09,76.86,77.42,2975588
2023-09-08,78.31,78.68,77.07,77.93,1943299
2023-09-07,78.32,78.81,77.84,78.31,887777
2023-09-06,79.23,80.29,78.01,78.32,2045484
2023-09-05,77.87,80.01,77.64,79.23,1898665
2023-09-04,77.25,78.33,76.30,77.87,2220635
2023-09-01,78.37,79.15,76.70,77.25,1444776
